"id","lectureName","lectureId","department","course","semester","classSize","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","thirteen","fourteen","fifteen","sixteen","seventeen","eighteen","nineteen","content","attendance","session","date_created"
13,"Gustave Amuzu","146","Computer Science","COMP412 Expert Systems","First Semester","38","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","1","1","1","1",,,,
14,"Gustave Amuzu","1297","Computer Science","COMP412 Expert Systems","First Semester","38","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Gooch","N","B","C","D",,,,
15,"Beryl Sunkwa-Mills","1280","Faculty of Law","LAW 206 Public International Law II","First Semester","60","5","5","5","5","5","5","5","5","5","5","5","5","5","5","hU","1","1","1","1",,,,
16,"Frederick Gardiner","4305","Computer Science","COMP208 Linear and Numerical Algebra","Second Semester","53","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Jacobi's iteration","Gausse Seidal","First Iteration","esiu","ewrtyugi",,,,
17,"Alfred Quarcoo","4850","Real Estate","REES 108 Finacial Mathemeatics II","First Semester","17","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Communication","He is a good man","Very astitute and disciplined","Nothing Here","Amazing!",,,,
18,"Gustave Amuzu","4732","Computer Science","COMP412 Expert Systems","First Semester","38","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Hajssn","Absjsj","Bbsnssn","Banana ","Gajens",,,,
19,"Gustave Amuzu","4732","Computer Science","COMP412 Expert Systems","First Semester","38","3","3","4","2","4","3","5","5","5","5","5","5","5","4","Shkdkd ","Hwiskemd","Sbdndn","Bsndkd ","Sbjdkdm",,,,
20,"Gustave Amuzu","4732","Computer Science","COMP412 Expert Systems","First Semester","38","4","4","3","3","4","4","3","2","3","4","3","3","4","3","No where really ","Some aspect","Nowhere really ","More communication ","More practical ",,,,
21,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","He stresses on points","N/A","Random quizzes","N/A","N/A",,,,
22,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","First Semester","258","2","1","5","4","5","2","3","3","5","1","1","5","2","2","The beginning ","ethers","ethers","he should listen and stop dictating to students. We are composed of mature students as well. And he should stick to his time and teach what he’s supposed to teach","he should listen and stop dictating to students. We are composed of mature students as well. And he should stick to his time and teach what he’s supposed to teach",,,,
23,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","First Semester","258","2","2","5","5","1","2","5","5","2","2","5","5","5","4","Oral test","Organic chemistry ","Organic chemistry ","Please just go straight to the point and stop beating around the bush ,you don’t have to be repeating the same thing over and over again …..it’s making me miserable!","Also please give more assignments ",,,,
24,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","First Semester","258","2","2","5","5","1","2","5","5","2","2","5","5","5","4","Oral test","Organic chemistry ","Organic chemistry ","Please just go straight to the point and stop beating around the bush ,you don’t have to be repeating the same thing over and over again …..it’s making me miserable!","Also please give more assignments ",,,,
25,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","First Semester","258","2","2","5","5","1","2","5","5","2","2","5","5","5","4","Oral test","Organic chemistry ","Organic chemistry ","Please just go straight to the point and stop beating around the bush ,you don’t have to be repeating the same thing over and over again …..it’s making me miserable!","Also please give more assignments ",,,,
